"ENT","CON","TOT_PER","TOT_HOM","P1_3_H1","P1_3_H2","P1_3_H3","P1_3_H4","P1_3_H5","P1_3_H6","P1_3_H7","P1_3_H8","P1_3_H9","P1_3_H10","P1_3_H11","TOT_MUJ","P1_3_M1","P1_3_M2","P1_3_M3","P1_3_M4","P1_3_M5","P1_3_M6","P1_3_M7","P1_3_M8","P1_3_M9","P1_3_M10","P1_3_M11","P1_3_M12","P1_3_M13","P2_1_1","P2_1_2","P2_1_3","P2_1_4","P2_1_5","P2_1_6","P2_2","P4_1_1","P4_1_2","P4_1_3","P4_1_4","P4_1_5","P4_1_6","P4_1_7","P4_1_8","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_2_6","P4_2_7","P4_2_8","P4_2_9","P4_2_10","P4_3_1","P4_3_2","P4_3_3","P4_3_4","P4_3_5","P4_3_6","P4_3_7","P4_3_8","P4_3_9","FACTOR"
"01","01E11792","04","02","33","06","","","","","","","","","","02","32","18","","","","","","","","","","","","1","2","1","1","1","1","","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",1415
"01","01E11823","04","02","36","04","","","","","","","","","","02","29","01","","","","","","","","","","","","2","2","2","1","1","2","01","2","2","2","2","2","2","2","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0",1415
"01","01E11827","04","01","43","","","","","","","","","","","03","16","11","43","","","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0",1415
"01","01E11843","04","02","48","13","","","","","","","","","","02","14","44","","","","","","","","","","","","2","1","1","1","2","1","","1","1","2","2","2","2","2","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1",1165
"01","01E11944","06","01","68","","","","","","","","","","","05","06","07","15","37","56","","","","","","","","","2","2","2","2","1","1","","2","2","2","1","2","2","2","2","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0",1107
"01","01E11975","07","04","19","27","29","52","","","","","","","","03","11","51","29","","","","","","","","","","","2","2","1","2","1","1","","1","2","2","2","2","2","2","2","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0",866
"01","01E12062","04","01","26","","","","","","","","","","","03","52","22","67","","","","","","","","","","","2","1","1","1","1","1","","2","2","2","2","2","1","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1018
"01","01E12156","05","01","55","","","","","","","","","","","04","37","19","12","06","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0",1342
"01","01E12182","05","03","16","06","59","","","","","","","","","02","27","25","","","","","","","","","","","","2","1","1","2","1","1","","2","1","2","1","2","2","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0",1141
"01","01E12191","02","01","26","","","","","","","","","","","01","30","","","","","","","","","","","","","1","2","2","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1757
"01","01E12223","03","02","15","24","","","","","","","","","","01","49","","","","","","","","","","","","","2","1","1","2","1","1","","1","1","2","2","2","2","2","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0",1282
"01","01E12230","02","01","62","","","","","","","","","","","01","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1804
"01","01E12234","07","03","07","50","19","","","","","","","","","04","31","15","15","02","","","","","","","","","","1","1","1","1","1","1","","2","1","2","2","2","2","2","2","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0",754
"01","01E12250","03","01","50","","","","","","","","","","","02","21","50","","","","","","","","","","","","2","1","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0",1356
"01","01E12267","03","02","09","18","","","","","","","","","","01","37","","","","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1",1618
"01","01E12270","04","02","04","26","","","","","","","","","","02","02","25","","","","","","","","","","","","2","2","1","2","1","2","01","2","2","2","2","2","2","2","2","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0",1646
"01","01E12292","03","02","04","30","","","","","","","","","","01","30","","","","","","","","","","","","","2","2","1","2","1","2","06","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0",2317
"01","01E12300","02","01","50","","","","","","","","","","","01","21","","","","","","","","","","","","","2","2","1","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1706
"01","01E12303","03","00","","","","","","","","","","","","03","26","48","56","","","","","","","","","","","2","1","1","2","1","1","","2","2","2","1","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",1356
"01","01E12323","02","02","08","60","","","","","","","","","","00","","","","","","","","","","","","","","1","2","2","2","1","2","01","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",2013
"01","01E12341","05","04","11","15","19","41","","","","","","","","01","43","","","","","","","","","","","","","1","1","1","2","1","1","","2","1","2","2","2","2","2","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0",1032
"01","01E12363","06","04","18","23","47","62","","","","","","","","02","49","65","","","","","","","","","","","","1","2","1","1","1","1","","2","2","2","2","2","1","2","2","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",892
"01","01E12382","07","04","02","12","67","36","","","","","","","","03","01","30","72","","","","","","","","","","","2","2","1","2","1","1","","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",891
"01","01E12393","05","02","22","54","","","","","","","","","","03","04","32","52","","","","","","","","","","","2","2","1","2","1","2","01","","","","","","","","","","","","","","","","","","","","","","","","","","","",1581
"01","01E12402","04","02","03","75","","","","","","","","","","02","69","34","","","","","","","","","","","","2","2","1","2","1","2","01","","","","","","","","","","","","","","","","","","","","","","","","","","","",1968
"01","01E12419","04","01","04","","","","","","","","","","","03","02","28","71","","","","","","","","","","","2","2","1","2","1","1","","2","2","2","2","2","2","2","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0",1861
